fastspring,Feb 6,5,Brunch söndag,"Härlig söndags brunch med musik, fullbokat men trots det inte stökigt utan gick att prata . Liveband spelade helt lagom högt.  Går gärna hit igen. Stor variation på mat och dryck . Kan beställa omelett som hörs på plats eller göra egna våfflor.  ","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 days ago",Responded 4 days ago,"Kära fastspring,  Stort tack för ditt omdöme och dina fina ord. Det gläder oss att du hade en sån fin upplevelse hos oss. Vi ser fram emot att få välkomna dig till Grand Hotel snart igen!  Önskar dig en underbar dag!  Med vänliga hälsningar, Katarina  ",Date of stay: February 2019,"[All, languages]",493
tegeson,Jun 2014,4,Här kan jag bo fler gånger!,"Hotellet ligger bara ett stenkast från stationen. Så det är perfekt gångavstånd även om man ""kör"" resväska.Snabb och bra incheckning. Liten men funktionell hiss.Mitt rum var på fjärde våningen. Från man steg av hissen var det i princip ljudlöst. Samma sak på rummet. Från jag kom…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jul 1, 2014","Responded Jul 1, 2014","Bäste Tegeson -  Det glädjer mig att du trivdes på Grand Hotel!   Vi planerar att renovera ett par av rummen på fjärde våningen och hoppas att din nästa vistelse på vårt hotell skall bli ännu bättre. Mycket välkommen tillbaka!  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: June 2014,"[All, languages]",493
Jan-Olov W,Jun 2014,4,Nästan perfekt,"Ett väldigt fint hotell med ett mycket centralt läge mitt i Lund. En härlig frukostbuffé. Mycket trevlig och hjälpsam personal, Fin restaurangdel och en stor bar. Der enda som gör att det inte blir fem stjärnor är att rummet jag fick var ganska vamt och kändes instängt. Ingen…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jun 15, 2014","Responded Jun 15, 2014","Bäste Jan-Olov,  Stort tack för att du rekommenderar hotellet! Vi skall arbeta hårt för att bli ännu bättre.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: June 2014,"[All, languages]",493
Mogens H,May 2014,5,Weekend,"Vi besøgte Grand Hotel for en overnatning, ligesom vi fik en tre retters menu m. vine til aften. Hotellet er et mondænt gammelt hotel, flot og vel vedligeholdt. Maden var perfekt ligesom der ikke var én eneste finger at sætte på det overdådige morgenbord","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded May 29, 2014","Responded May 29, 2014","Bäste Mogens -  Stort tack för din fina sammanfattning av Grand Hotel!  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: May 2014,"[All, languages]",493
CPtraveller,May 2014,4,Old world charm,"I spent one night at the Grand Hotel, Lund, while visiting the university. The hotel feels like it is plucked out of the 1930s. The rooms are comfortable, though not fancy. Decent amenities, reliable and fast wifi, nice shower. But it is the lounge and restaurant that make the…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded May 25, 2014","Responded May 25, 2014","Dear Traveller -  Thank you for your review.   I am very pleased that you had an enjoyable stay and I hope that you will return to Grand Hotel in the not too distant future.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: May 2014,"[All, languages]",493
Mipiace1,May 2014,3,Delusione,Sono tornato in questo albergo a distanza di tempo. Le camere sono sempre le stesse. Nessun cambiamento. Il personale sempre cortese e disponibile. Mi hanno assegnato una stanza al primo piano. Le dimensioni le solite. Essendo ormai prossima l'estate le giornate sono lunghe e le…,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded May 25, 2014","Responded May 25, 2014","Dear Mipiace1 -  Thank you for your review and your kind words about our staff.  I appreciate your comments about the curtains and I will look into this issue. Furthermore I am most concerned, and very sorry, that you did not get a good nights sleep.  The rooms facing the courtyard could be a good alternative in order to avoid the morning sun and potential morning traffic. My colleagues and I will be delighted to arrange such a room for you during, what I hope will be, your future visits.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: May 2014,"[All, languages]",493
Bobason,May 2014,5,Utmärkt,"Jag glömde min laptop och telefon laddarna när jag reste bort och hade stora problem med kommunikationer under min vistelse i Lund. Men tack till de underbara personalerna i Grand Hotell jag klarad mig utmärkt ändå. Jag vill särskilt tacka Lina, Marie och Björn på reception som…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded May 20, 2014","Responded May 20, 2014","Stort tack för dina vänlig ord! Det glädjer mina kollegor och mig att du trivdes på Grand Hotel och vi önskar dig varmt välkommen tillbaka.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: May 2014,"[All, languages]",493
Håkan B,May 2014,4,Gamla Grand,"Grand Hotel i Lund lever på gamla meriter, vilket både är bra och dåligt. De HAR en bra service och mycket är flott - inte minst den fantastiska frukosten! Men rummen är gamla och inte speciellt lyxiga med toaletter som rinner, badkar som har stopp, element som susar, lampor som…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded May 20, 2014","Responded May 20, 2014","Bäste Håkan -  Tack för din recension. Det glädjer mig att du verkar tycka om mycket av det du upplevt på Grand Hotel.   En äldre byggnad skapar en speciell atmosfär men är samtidigt en utmaning. Kontinuerligt underhåll kombinerat med långsiktiga renoveringsplaner finns på plats för att säkerställa Grand Hotels fortsatta position som Lunds naturliga mötesplats.  Jag hoppas få se dig som vår gäst snart igen och önskar dig hjärtligt välkommen!  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: May 2014,"[All, languages]",493
Per K,May 2014,2,Överbokning inte roligt att drabbas av,Kom med på förhand anmäld sen ankomst till Grand Hotell kl 21.45. Möts av informationen om att de tyvärr överbokat hotellet och därför vill skicka mig ut till annat hotell utanför centrum. Inte riktigt vad man önskar mötas av när man har en viktig planerad arbetsdag i Lund dagen…,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded May 21, 2014","Responded May 21, 2014","Bäste Per -   Jag delar din beskrivning av resebranschens försök att maximera beläggningen. Det är en svår balansgång att erbjuda generösa avbokningsregler samtidigt som vi inte vill bli stående med tomma rum. Antalet gäster som drabbas av överbokning på vårt hotell kan dock, på årsbasis, räknas i promille.   Jag ber dig oreserverat om ursäkt för vi inte levde upp till våra förpliktelser gentemot dig och är tacksam om du kontaktar mig inför ditt nästa besök i Lundaregionen.  Med vänlig hälsning,  Björn Gustavsson  Receptionschef",Date of stay: March 2014,"[All, languages]",493
HathorStockholm,May 2014,4,Grand Hotel i Lund,Grand är ett robust största best-in-Town hotel utan att vara överdådigt eller superlyxigt. För den som vill ha det lilla lite för stort och för den som vill ha det extravaganta behövs det mer. Fyller sin plats väl i Lund och är en mycket trivsam upplevelse.,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded May 11, 2014","Responded May 11, 2014","Kära Gäst - tack för det du skriver.   Grand Hotel vill framstå som Lunds ledande hotell och av din recension får jag intrycket att du tycker vi lyckas med det. Det glädjer mig mycket!  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: April 2014,"[All, languages]",493
JosephinePa,May 2014,3,Når inte upp till 4 stjärnor på servicen!,"Bra, men behöver jobba på detaljerna. Dörren till kylen var glapp i, en hel del små skavanker som kändes oproffsiga! vi ställde ut skor enligt deras beskrivning för att putsas under natten, men de glömde bort dem. Vi fick påminna tre gånger om strykjärn och strykbräda. Dessutom…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded May 11, 2014","Responded May 11, 2014","Kära Josephine -  Tack för att du recenserar hotellet. Vi tar lärdom av det du skriver och skall se till att de missöden som drabbade dig inte sker igen.   Jag ber dig om ursäkt för de tillfällen där vi kom till korta och jag hoppas att du trots detta skall välja att övernatta på Grand Hotel vid kommande besök i Lundaregionen.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: May 2014,"[All, languages]",493
Siri47,Apr 2014,4,Flott hotell med hemtrevlig stämning.,"Vackert och centralt läge- nära till allt. Vacker gammal byggdad med lyxig känsla, den trevliga personalen bidrog till en hemtrevlig känsla. God, närproducerad frukost- ett extra plus med espressomaskin utanför rummet! lyxigt att starta dagen med en god espresso i sängen.. våra…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Apr 26, 2014","Responded Apr 26, 2014","Kära Siri -  Tack för att du recenserar Grand Hotel - det glädjer mig att du ger oss ett överlag bra betyg.   Jag vill åtgärda problemet du nämner med sängen och vore därför tacksam om du informerar mig i vilket rum du övernattade.  Med vänlig hälsning, Björn Gustavsson Receptionschef bjorn.gustavsson@grandilund.se",Date of stay: April 2014,"[All, languages]",493
Swede-Johansen,Apr 2014,4,Baren är ett måste,Ett väldigt fint och klassiskt hotell mitt i Lund. Mindre än fem minuter från järnvägsstationen och beläget precis början av affärsgatorna i centrum. Mycket restauranger och caféer i dess omedelbara närhet. Rummet var rymligt och rent. Sängen bekväm och inte heller några…,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Apr 16, 2014","Responded Apr 16, 2014","Bäste Swede-Johansen,  Det gör mig glad att du trivdes på Grand Hotel. Jag hoppas att du återvänder till oss snart igen.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: April 2014,"[All, languages]",493
LiLycke,Apr 2014,5,Trevligt och centralt,"Trevligt bemötande och bra service, personligt inredda rum, genuint och mysigt, bra sängar, lyxkänsla, fantastisk frukostbuffé, centralt beläget endast någon minuts promenad från tågstationen och nära centrum.","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Apr 16, 2014","Responded Apr 16, 2014","Kära LiLykke -  Tack för din fina sammanfattning av Grand Hotel.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: April 2014,"[All, languages]",493
Hansjoergen M,Mar 2014,5,En aften med kongens kok.,"Vi besøgte Grand Hotel i Lund med det ene formål at deltage i den ene af de to middage som chefkokken og Kungliga Hovtraktør fra Öperakälleren afholdte i restaurant Gambrinus på hotellet. Det var en aften som vil være mindeværdig, for den ene vidunderlige, fantasifulde og…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Apr 2, 2014","Responded Apr 2, 2014","Bäste Hansjoergen -  Det glädjer oss att du hade en trevlig helg Grand Hotel! Jag hoppas få välkomna dig tillbaka vid kommande gästspel och evenemang på hotellet. Du kan läsa mer på vår hemsida.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: March 2014,"[All, languages]",493
Ulrika K,Mar 2014,4,Lovely hotel,Lovely and genuine old hotel. The breakfast is really tasty and the food in the restaurant is very good. The room deluxe was really nice and the bed good. Its a little bit noisy in the mornings from traffic outside. I am always satisfied and love to come back soon again.,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Mar 10, 2014","Responded Mar 10, 2014","Dear Ulrika -  Thank you for your kind review. I hope that you will return to Grand Hotel soon again.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: February 2014,"[All, languages]",493
sara s,Mar 2014,5,hotellet mycket bra,"Tycker att hotellet, maten, personalen bra, Speciellt personalen mycket hjälpsamma, jag fick byta rum eftersom jag var inte nöjd först, rummet kändes instängd. Dt kändes bra, jag trivdes bra,  trivdes bra, konferans lokalen ocskå utmärkt, toalletena var rena o fina.","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Mar 9, 2014","Responded Mar 9, 2014","Kära Sara -  Tack för dina positiva ord om Grand Hotel! Jag hoppas få välkomna dig tillbaka till oss snart igen.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: February 2014,"[All, languages]",493
ianjindal,Mar 2014,4,"Friendly, faded Regency glamour, with excellent restaurant","The Grand promises a lot: wonderful location (the centre of the centre), minutes from the train station (which is a shock to UK dwellers by virtue of its efficiency, cleanliness and wonderful connections - 10m to Malmo, 33 to Kastrup/CPH, with trains every few minutes at…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Mar 4, 2014","Responded Mar 4, 2014","Dear Ian -  Thank you for your review. I very much appreciate both your praise and your comments on how we can improve our product.  I do hope that the dice will roll in my favour and that you will chose to stay at Grand Hotel on your next visit to Lund. Please do not hesitate to contact me directly if I can assist you with the reservation.  Kind regards, Björn Gustavsson Front Desk Manager bjorn.gustavsson@grandilund.se",Date of stay: February 2014,"[All, languages]",493
Арминэ А,Feb 2014,5,Классика уровня люкс,"Безупречный отель, в сервисе предоставляемых услуг, обслуживания и кухни.  Швейцары и горничные всегда готовые прийти на помощь. Номера, вне зависимости от класса, достаточно просторные и удобные. Ежедневная уборка, полная смена белья и банных принадлежностей.  Волшебная…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Mar 1, 2014","Responded Mar 1, 2014","Dear Traveller -  On behalf of all Swedish hoteliers I am delighted that you enjoyed your stay in Sweden. Though I must admit that your kind review relates to our namesake in the capitol Stockholm.   I very much hope that you will return to Sweden and spend some time in the city of Lund. My colleagues and I would be delighted to have you as our guest!  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: July 2013,"[All, languages]",493
Peter H,Feb 2014,5,Fantastisk morgenbord,"Vi overnattede ikke på Grand Hotel Lund, men indtog vores morgenmad der, så hotelværelser og overnatningskvalitet kan jeg ikke bidrage med.   Hotellets morgenbuffet er derimod fremragende, intet mindre. Vi indtog den på Grand Hotel, fordi vi overnattede på et mindre hotel ganske…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Mar 1, 2014","Responded Mar 1, 2014","Bäste Peter -  Tack för din trevliga kommentar om frukosten på Grand Hotel! Jag hoppas att du återvänder till vår stad snart igen och då får möjlighet att prova hotellets alla faciliteter.  Med vänlig hälsning,  Björn Gustavsson Receptionschef",Date of stay: January 2014,"[All, languages]",493
MarianneBom,Feb 2014,4,Grand hotel is all that,"The Grand hotel feels exactly the way it sounds. The lobby and other common areas on the ground floor look straight out of the 3'ies and the rooms have a lovely combination of modern and comfortable and at the same time keeping the atmosphere.  The beds are comfortable,…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Feb 5, 2014","Responded Feb 5, 2014","Dear Marianne -  Thank you for your kind comments. I hope that you will return to Grand Hotel soon again.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: February 2014,"[All, languages]",493
klar10,Dec 2013,4,"Perfect location, nice lobby, small rooms","Grand hotel is a classic hotel in Lund with a very good location. It has a nice lobby with a huge stair case, all made to make a grand and welcoming entrance.  The bar is good, but pricey, and the breakfast is very nice. All well and good, exactly what you expect from hotel in…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Dec 6, 2013","Responded Dec 6, 2013","Dear klar10 -  Thank you for your kind comments about Grand Hotel.   I appreciate your input about tea and coffee facilites and I will discuss this further with my colleagues.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: November 2013,"[All, languages]",493
ECLIPSE3004,Nov 2013,3,歴史がありすぎるホテル,…,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 30, 2013","Responded Nov 30, 2013","Dear Eclipse30 -  Thank you for letting us know how you experienced your stay. I have made note of your comments and I will discuss them with my colleagues.  Kind regards, Bjorn Gustavsson Front Desk Manager",Date of stay: November 2013,"[All, languages]",493
Chemword,Nov 2013,5,"Utmärkt vistelse, personlig service","Utmärkta sängar i deluxe-rum som verkligen kändes lyxigt, fint rum, rent, bra badrum med badkar, personlig service och god mat. Vi har varit där förut och kommer igen. Atmosfären är utmärkt. Den enda nackdelen var att det skulle kunna vara lite mer mat på tallriken under…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 16, 2013","Responded Nov 16, 2013","Det glädjer mina kollegor och mig mycket att du trivs på Grand Hotel och är en återkommande gäst. Vi hoppas få välkomna dig tillbaka snart igen!  Med vänlig hälsning,  Björn Gustavsson Receptionschef",Date of stay: November 2013,"[All, languages]",493
Isabella G,Nov 2013,4,Isabella,"Et  centralt beliggende hotel med en flot stil og en venlig betjening. Morgenbuffeen var et hit med økologiske produkter  og så kunne man bage sine egne vafler. Trængte du til kaffe i løbet af dagen fandtes dette i kælderetagen, hvor der også var træningsfaciliteter og …","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 16, 2013","Responded Nov 16, 2013","Kära Isabella -  Stort tack för din fina sammanfattning av Grand Hotel. Vi ser fram emot att få välkomna dig tillbaka - Grand Jazz 2014 blir minst lika bra som årets upplaga!  Med vänlig hälsning,  Björn Gustavsson Receptionschef",Date of stay: November 2013,"[All, languages]",493
Kurt S,Nov 2013,5,Ett hotel med en unik atmosfär och mycket trevlig personal,"Från bokningen och till avresa var betjeningen på hotellet mycket, mycket bra. Man känte sig verkligen velkommen, särskilt av receptionchefen, Björn Gustavsson. Grand Hotel i Lund får min bäste rekommendation.","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 16, 2013","Responded Nov 16, 2013","Bäste Kurt -  Det glädjer mig att du trivdes på Grand Hotel. Jag önskar dig mycket välkommen tillbaka!  Med vänlig hälsning,  Tomas Hellstrand Operativ Chef",Date of stay: November 2013,"[All, languages]",493
camilla g,Oct 2013,3,Godtagbart,"Vi betalade nästan 2000:- för EN natt och jag tror ALDRIG att vi har sovit så dåligt någonsin, sängarna var KATASTROF,de var mjuka och slitna precis som om de var 35 år gamla, och de gnällde och knirrade som om de var minst lika gamla och detta påtalade vi vid utcheckningen. Vi…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 28, 2013","Responded Oct 28, 2013","Hej Camilla -   Tack för att du skriver om hur du upplevde din övernattning på hotellet. Jag uppskattar mycket att du, trots att du är besviken, är hygglig och berömmer receptionens servicenivå när du bokade rummet och checkade in.   Vi vill att alla våra gäster skall lämna Grand Hotel nöjda och med önskan att vilja återvända inom en snar framtid. Jag förstår att du knappast lämnade hotellet med den känslan - och därför är det extra viktigt för mig att du väljer att komma tillbaka.   Jag vill därför gärna tala direkt med dig. Har du tid och möjlighet att kontakta mig via nedanstående emailadress och uppge ditt telefonnummer så vore jag mycket tacksam.   Med vänlig hälsning,   Björn Gustavsson  Receptionschef  bjorn.gustavsson@grandilund.se",Date of stay: October 2013,"[All, languages]",493
herrulf,Oct 2013,5,God mat och trevlig personal,"När man stiger innanför dörrarna på hotellet får man en känsla av elegans och lyx. Allt verkar mycket genomtänkt. Maten, personalen, läget och rummen får högsta betyg. Gym och relaxavdelingen är liten men fräsch. Ett minus är att parkeringen ligger en bit ifrån hotellet.","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 26, 2013","Responded Oct 26, 2013","Bäste Herrulf -  Det gör mig mycket glad att du trivdes på Grand Hotel. Mina kollegor och jag hoppas att du snart gästar oss igen.  Med vänlig hälsning,  Björn Gustavsson Receptionschef",Date of stay: October 2013,"[All, languages]",493
Lars-Fredrik,Oct 2013,5,verdient den Namen wirklich,"Anfängliche Befürchtungen wurden schnell zerstreut - dies ist kein Hotel, das auf Verschleiß arbeitet und von der Größe vergangener Tage lebt - das Hotel ist auch von innen sehr schön, klassisch und auf dennoch auf der Höhe der Zeit. Die Lage könnte nicht besser sein. Der…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 21, 2013","Responded Oct 21, 2013","Dear Lars-Fredrik -  Thank you for your kind words. I hope that you will return to Grand Hotel soon again.  Kind regards,  Björn Gustavsson Front Desk Manager",Date of stay: July 2013,"[All, languages]",493
Like T,Oct 2013,3,"""Ottimo?"".....Non direi!",L'albergo è situato in ottima posizione nella cittadina di Lund. Imponente immobile antico con arredamenti abbastanza barocchi e talvolta stantii. Abbiamo prenotato una camera matrimoniale deluxe sicuramente poco utilizzata visto il forte odore di muffa impresso all'interno. La…,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 10, 2013","Responded Oct 10, 2013","Dear Like T -  Thank you for writing a review. I am sorry to learn that you did not enjoy your stay. Please send me an email - I would be grateful for more information.  Kind regards,  Björn Gustavsson  Front Desk Manager bjorn.gustavsson@grandilund.se",Date of stay: October 2013,"[All, languages]",493
Ray H,Sep 2013,4,Traditional but very good,"The Grand is THE hotel in the centre of Lund, Sweden's famous university city.  Some of the circular turret rooms are amazing with windows on four sides and views over the city.  The food is traditional Swedish with little concession to the international business traveller, but…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 2, 2013","Responded Oct 2, 2013","Dear Ray -  Thank you for your kind words about Grand Hotel. I hope that you will return on many future occassions.  Kind regards,  Björn Gustavsson Front Desk Manager",Date of stay: September 2013,"[All, languages]",493
Mipiace1,Sep 2013,4,Elegante e comodo,"L'albergo è di gusto antico con grandi locali ed un ingresso da residenza di grandi nobili. Gli arredi sono eleganti e di stile tipo liberty. Molto bello l' ingresso e da qui le due scale ai piani superiori. Le camere sono spaziose, ben arredate e pulite. Il locale bar e…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Sep 18, 2013","Responded Sep 18, 2013","Dear Mipiace1 -  Thank you for reviewing the Grand Hotel. I am happy to learn that you have a favourable opinion of our hotel and that you plan to return. Welcome Back!  Kind regards,  Björn Gustavsson Front Desk Manager",Date of stay: September 2013,"[All, languages]",493
ACM2013,Aug 2013,4,Good location,We stayed here for two nights with our student son who is starting a year of study at Lund University. Location is excellent and very nice hotel but a little bit pricey. Be careful about parking just outside the hotel while dropping off luggage as we got a ticket. However the…,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 31, 2013","Responded Aug 31, 2013","Dear ACM2013 -  Thank you for reviewing our hotel. I very much hope that your son will enjoy his studies in Lund and that we will have the pleasure of seeing his parents back at the Grand Hotel soon again.  Kind regards,  Björn Gustavsson Front Desk Manager",Date of stay: August 2013,"[All, languages]",493
NicolasCJ,Aug 2013,4,Majestueux mais vieillissant,"Cet hôtel majestueux, imposant se situe à une centaine de mètre de la gare, à proximité du secteur piétonnier. A savoir qu'il est tout de même possible de s""y rendre en taxi si vous êtes chargé. Service impeccable, à la réception, au restaurant... Machine à café (dosette) sur le…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 31, 2013","Responded Aug 31, 2013","Dear Nicolas -  Thank you for reviewing our hotel. I am most grateful for your kind comments about the atmosphere, service and the fine dining for which the Grand Hotel is so well known.  Kind regards,  Björn Gustavsson Front Desk Manager",Date of stay: June 2013,"[All, languages]",493
Frequenttraveller076,Aug 2013,4,"Charming hotel, with quirks","The Grand's public rooms exude European charm.  Nevertheless, the guest rooms can be very small by North American standards.  Worse, some bathrooms (for single rooms) are so small that the shower stalls are barely functional.  The staff, however, are helpful and they moved me to…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 31, 2013","Responded Aug 31, 2013","Dear Frequenttraveller076 -  Thank you for reviewing our hotel. I am most grateful for your kind comments about the atmosphere and attitude of staff at the Grand Hotel.  Please send me a message before your next stay at the Grand and I would be delighted to offer you a complimentary upgrade to a larger room.  Kind regards,  Björn Gustavsson Front Desk Manager bjorn.gustavsson@grandilund.se",Date of stay: June 2013,"[All, languages]",493
bettoneyvere,Aug 2013,3,A bit of a mixed bag,"We stayed here for three nights while attending a conference. Nice room on 4th floor, well laid out and, luckily, very quiet and accessible once we got used to very tiny elevators. Staff generally pleasant. Good location. Breakfast was disorganised chaos. On the first morning we…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 31, 2013","Responded Aug 31, 2013","Dear Bettoneyvere -  Thank you for reviewing our hotel. Please accept my apologies for the inconvenience you were caused during breakfast.  The hotel's kitchen was closed for construction work during the summer and part of the dining room area was therefore not in use. I am very sorry if we failed to provide our normal high standard of service during breakfast while you were staying with us.  I do hope that you will have the opportunity to return to Lund in the not too distant future and that you will then be able to re-experience Grand Hotel. Please send me a message before your next stay.  Kind regards,  Björn Gustavsson Front Desk Manager bjorn.gustavsson@grandilund.se",Date of stay: June 2013,"[All, languages]",493
yaelol,Jul 2013,4,once upon a Monastery... now hotel.,"once upon a Monastery... now hotel.  have been to the hotel multiple times.  wide range of room size and quality.  great breakfast.   walking distance from the train station, winter and summer alike.  a short walk to downtown Lund.    elevator doesn't go to the top floor - you…",,,,Date of stay: August 2012,"[All, languages]",493
judiko,Jul 2013,5,"Lovely hotel, lovely part of Sweden",We have stayed here a few times and it never fails to please. Whilst not the cheapest it is a lovely hotel fill of charm. We stay in a turret room which is excellent. Great place. Parking is only via municipal parking area but it works. Friendly staff. ,,,,Date of stay: July 2013,"[All, languages]",493
Christian M,Jul 2013,4,Trevliga rum med utsikt,Vi tillbringade en natt i ett classic dubbelrum i juli 2013. Har inget att klaga på vad gäller rummen. De var smakfullt inredda med mycket sköna sängar. Själva hotellet är charmigt med stora salar och en pampig entré från förra sekelskiftet. Frukostbuffén var mycket bra men…,,,,Date of stay: July 2013,"[All, languages]",493
jess65456,Jul 2013,3,"Excellent hotel, unfortunate service","In short: the hotel, itself, was great; but the service was repeatedly disappointing.  Our room was airy and pleasant.  While the rain shower ends up being more of an annoyance than a pleasure, the whole place felt clean and well-maintained, and that was enough for me.  The bed…",,,,Date of stay: June 2013,"[All, languages]",493
deBotton,Jun 2013,5,Nice hotel great location,"Stayed for two nights. The hotel is very nice, located inside a beautiful building - its a bit old - but this just adds the right atmosphere. The only setback was a strange scent in the main corridors (not in my room). The room was surprisingly lighted, comfortable, clean and…",,,,Date of stay: June 2013,"[All, languages]",493
Duncan L,May 2013,4,"Classic hotel with good service, but showing its age","I stayed at the Grand for 3 nights and it has a great location close to the railway station - and so is regularly used for conferences and the like. Personnel are helpful and they have a great breakfast. The hotel is one of the ""classic"" grand hotels built in many Swedish…",,,,Date of stay: May 2013,"[All, languages]",493
DBV,May 2013,4,Not the cigar lounge,"We had the meeting in the hotel and everybody stayed here. The atmosphere was great, my room spacious (I did get a single occupancy double), very elegantly furnished (No 159). The bathroom is, however, small, and so is the bathtub. Nespresso machine right in front on the…",,,,Date of stay: May 2013,"[All, languages]",493
Selma L,Apr 2013,4,Centralt och vacker byggnad,"Väldigt centralt och nära till stationen om man kommer med tåg. Hotellet är väldigt vacker och byggnaden är väldigt ståtlig. Utsikten från rummet var vacker den också, men jag förväntade mig mer standard med hänsyn till priset. Frukosten var super.",,,,Date of stay: February 2013,"[All, languages]",493
Nigel W,Apr 2013,3,The best hotel in Lund?,I stayed at the Grand Hotel on business on the recommendation that it is the best hotel in Lund. If it's the best I am certainly glad I didn't stay anywhere else! I was travelling solo but did not expect the single bed in my small room! The room was dark and poorly lit with too…,,,,Date of stay: April 2013,"[All, languages]",493
Denise_Airl,Apr 2013,5,Luxury at a reasonable price,"We stayed here at Easter and we got a suite as a family of four. The room was lovely, opulent and looked more expensive than the price we paid. Lund is a pretty university town but mostly everything was closed during easter. We were here for a specific event so it didn't make an…",,,,Date of stay: March 2013,"[All, languages]",493
Ulf Wike Ljungblad,Apr 2013,4,Stylish,"Being a former university student some 20 years ago it is funny to come back and stay at Grand Hotel. I had booked and payed in advance, so check in was quick. It is located centrally in Lund with walking distance to everything. My room was very small, but every detail was…",,,,Date of stay: April 2013,"[All, languages]",493
Karin F,Mar 2013,4,Bra läge.,Hotellet ligger centralt men är ändå lugnt och fridfullt. Snabb incheckning. Vänlig personal. Rummet litet men med fin utsikt över taken i Lund. Frukosten var superbra. Allt fräscht. Mycket att välja på med lokala produkter. Hissarna hyggligt snabba.,,,,Date of stay: March 2013,"[All, languages]",493
LovgrenD,Mar 2013,4,Lost in Lund,"Tre besök - det första bäst, sen höll rummen inte samma extraordinära klass. Men det betyder faktiskt inget annat än att det var riktigt hög klass över lag!  Frukosten var en av de bästa hotellfrukostarna jag ätit. Den hade många lokala inslag, gott och färskt bröd, ostar och…",,,,Date of stay: December 2012,"[All, languages]",493
