,a,b,c,d,e,f,cite
1254,2010,154,[PDF][PDF] HOW WILL LAW ENFORCEMENT ADAPr TO THE POTENTIAL INCREASE IN COl\fMUTING POllCE EMPWYEES BY J1IE 21ST CENTURY?,EA AASTED - ncjrs.gov,"… been clogged With cars for longer than most of us can remember. In many ways, civic officials
have come to regard downtown congestion as a badge of urban vitality, and traffic jams as the
price of working in a thriving city. But during the last several years, traffic … 
",   View as HTML ,0
1314,2010,153,"[PDF][PDF] Preserving the past and planning the future in Pasadena, Riverside and San Bernardino",CC Palmer - 2010 - digitalscholarship.unlv.edu,"Page 1. UNLV Theses, Dissertations, Professional Papers, and Capstones 5-2010
Preserving the past and planning the future in Pasadena, Riverside and San Bernardino
Charles Conway Palmer University of Nevada Las Vegas … 
",  Related articles All 5 versions  ,0
1318,2010,153,Foreign Direct Investment in Canadian Banking: Is there a Case for Special Treatment?,"JF Chant - IUP Journal of International Business Law, 2010 - search.ebscohost.com","Page 1. The IUP Journal of International Business Law, Vol. IX, Nos. 1 & 2, 2010 66 Foreign
Direct Investment in Canadian Banking: Is there a Case for Special Treatment?† © 2010 John
F Chant. All Rights Reserved. This paper addresses a paradox … 
",  Related articles All 3 versions  ,0
1321,2010,153,"[PDF][PDF] Undergraduate Bulletin for 2009-2011, Fall [2010 Edition]",DL Bello - 2010 - ir.stonybrook.edu,"… About Stony Brook Close to the historic village of Stony Brook at the geographic midpoint of Long
Island, the University campus lies about 60 miles east of Manhattan and 60 miles west of Montauk
Point, convenient both to New York City's urban vitality and cultural attractions … 
",  Related articles All 4 versions  View as HTML ,0
1406,2011,193,"[PDF][PDF] Location Canterbury Court, Chichester House And Chester House, 1-3 Brixton Road London, SW9 6DE.",W Vassall - moderngov.lambeth.gov.uk,"… which would serve approx. 2,247 sqm of retail, financial and restaurant floorspace
(use class A1-A3). 8.13 As stated in saved UDP policy 19 active frontages promote
urban vitality and/or regeneration. It is considered that the … 
",   View as HTML ,0
1397,2011,193,Marketing the Built Environment? The Buck Stops with Strategic Planning,"D Peel - Journal of Surveying, Construction and Property, 2011 - ijie.um.edu.my","… In other words, an important feature of Business Improvement Districts is to strengthen the
marketability of the built environment and the services it supports. This is, in effect, the
maintenance of urban vitality and viability through deliberate collective action (Lloyd & Peel, 2007) … 
",  Related articles All 17 versions  View as HTML ,0
1395,2011,193,REPORT OF THE SECOND WORKSHOP OF THE RSA RESEARCH NETWORK ON 'ECOLOGICAL REGIONAL DEVELOPMENT',"G Lintz, D Gibbs, B Müller - Regions Magazine, 2011 - rsa.tandfonline.com","… Bilbao and Valencia. The second presentation by Pedro Costa (Lisbon University
Institute) presented the Creatcity project: A governance Culture for the Creative City:
Urban Vitality and International Networks. The project aims … 
",  All 2 versions  ,0
1394,2011,193,[PDF][PDF] Icons of the East: Urban Planning in Post Wende Berlin,CL Brotz - 2011 - digitalwindow.vassar.edu,"Page 1. Vassar College Digital Window @ Vassar Senior Capstone Projects 2011 Icons
of the East: Urban Planning in Post Wende Berlin Conrad Leander Brotz Follow this and
additional works at: http://digitalwindow.vassar.edu/senior_capstone … 
",  Related articles All 3 versions  ,0
1392,2011,193,Mathematic Model of Influencing Factors of Agricultural Arid Climate Based on Fuzzy Comprehensive Evaluation,"Y He-cai - Journal of Anhui Agricultural Sciences, 2011 - en.cnki.com.cn","… 1.Department of Urban and Region Planning,Nanjing University,Nanjing 210093;2.College of
Hydrology and Water Resources,Hohai University,Nanjing 210093;3.Zhejiang Reclaim
Construction Group CU.LTD.,Ningbo 315040,China);Evaluation of Urban Vitality Based on … 
",  Related articles  Cached ,0
1390,2011,193,[PDF][PDF] The Novelty of Tradition: Creative Old Quarters at the Heart of Waning Cities1,L Balula - academia.edu,"… coexistence of diverse lifestyles in a shared territory. Keywords: Urbanism, public
space, urban creativity, urban vitality, cultural neighbourhood, creative city, Lisbon,
Barcelona, São Paulo. **** 1 This paper was developed in the … 
",  Related articles All 2 versions  View as HTML ,0
1389,2011,193,Low Income Graduates Friendly City: Social and spatial integration for low income graduates in periphery area of Beijing,J Su - 2011 - repository.tudelft.nl,"… Strategies summaries Chapter 4: Design Location Choice Main design strategy Rules of
new land development model Keep the urban vitality Create new identity Design proposal
Collages Process of development Page 6. 6 Chapter 1: Introduction … 
",  All 2 versions  View as HTML ,0
1385,2011,193,"Typing Politics: The Role of Blogs in American Politics. By Richard Davis. New York: Oxford University Press, 2009. 256p. $99.00 cloth, $19.95 paper.","S Wright - Perspectives on Politics, 2011 - cambridge.org","… In many cases, empirical studies refute Jacobs's insights, although Garnett points out
that especially in struggling neighborhoods, “some disorder-suppression efforts may
con- flict with the goal of fostering needed urban vitality” (p. 74) … 
",  All 2 versions  ,0
1380,2011,169,"[PDF][PDF] The Multi Functional Architecture in Curitiba, Brazil: Urban Planning for Sustainability","G Dziura, D Tahira, MB Colino - irbnet.de","… oeeupation that brings life to the urban space. The diversity of funetions is one of the
four eonditions that the author considers to improve urban vitality through urban
planning. The organization and connection of the multi funetional … 
",  Related articles All 2 versions  View as HTML ,0
1377,2011,169,INSPIRING THE VITALITY OF HISTORICAL COMMUNITY: THOUGHTS AFTER THE CONCEPTUAL DESIGN COMPETITION OF CITY CEREMONY 3,"M Liang - Archicreation, 2011 - en.cnki.com.cn","… renewal projects aiming at providing vitality to the urban area and integrating the overall
development of the city.The purpose of this paper is to give recommendations of the protection
and renewal of the historic community after a deeper thought on inspiring urban vitality in a … 
",  Related articles  Cached ,0
1250,2010,154,"Creativity, Culture And Tourism Triangle; An Evaluation Of Two Cities: Barcelona And Istanbul","E Kerimoglu, F Gezici - 2010 - econstor.eu","… and creation of value in contemporary economies, transversal to all activities and social practices
(from the cultural and more ―creative‖ through to all others), has a potential that may be explored
at the local level, within a logic of promoting urban vitality and competitively … 
",  Related articles All 5 versions  View as HTML ,0
1243,2010,156,Can Place Be Created? Cultivating Sense of Place in New Developments Within Existing Urban Contexts,BJ Szymanski - 2010 - rave.ohiolink.edu,"Page 1. UNIVERSITY OF CINCINNATI Date: I, , hereby submit this original work as part of the
requirements for the degree of: in It is entitled: Student Signature: This work and its defense
approved by: Committee Chair: 6/18/2010 706 5-Apr-2010 Brian J. Szymanski … 
",  Related articles All 2 versions  View as HTML ,0
1167,2009,119,"[DOC][DOC] 3135 TAMU College Station, Texas 77843-3135 10. Work Unit No.(TRAIS) 11. Contract or Grant No. 0-6210","IN Sener, N Ferdous, CR Bhat, P Reeder - 2009 - ce.utexas.edu","Technical Report Documentation Page. 1. Report No. FHWA/TX-10/0-6210-2. 2. Government
Accession No. 3. Recipient's Catalog No. 4. Title and Subtitle Tour-Based Model Development
for TxDOT: Evaluation and Transition Steps. 5. Report Date October 30, 2009 … 
",  Related articles All 2 versions  View as HTML ,0
1155,2009,119,[PDF][PDF] UNESCO Chair in Cultural Policy and Management,"V Matković, S Dragojević - culturalmanagement.ac.rs","Page 1. UNIVERSITY OF ARTS IN BELGRADE Center for Interdisciplinary studies
UNIVERSITE LUMIERE LYON 2 Faculté d'Anthropologie et de Sociologie UNESCO
Chair in Cultural Policy and Management Master thesis … 
",  Related articles All 2 versions  View as HTML ,0
1152,2009,119,[PDF][PDF] Teaching an Old Policy New Tricks: The 421-A Tax Program and the Flaws of Trickle-Down Housing,"SB Cohen - Journal of Law and Policy, 2009 - brooklynworks.brooklaw.edu","… 1) decent shelter; 2) wealth creation; 3) social integration; 4) urban vitality; 5) civic
engagement; 6) training; 7) institution building; and 8) efficient use of public funds.”).
32 Id. 33 See Spitzer, supra note 28. 34 See, eg, PRATT CTR … 
",  Related articles All 2 versions  ,0
1148,2009,119,[BOOK][B] Art and cultural diplomacy in the international exhibition: Documenta 1 and Prospect.1,L Constant - 2009 - search.proquest.com,"… perhaps all international biennials face challenges in getting established, and in the case of
New Orleans, the struggle is to rally the right type of support from the outside world to return to
a level of urban vitality that might be sustained for future generations.31 … 
",  Related articles  ,0
1143,2009,119,[PDF][PDF] INNOVATION AND CREATIVITY IN THE ORDINARY CITY? TALENT MATTERS IN LONDON ONTARIO,N Bradford - 2009 - sites.utoronto.ca,"Page 1. 1 INNOVATION AND CREATIVITY IN THE ORDINARY CITY? TALENT
MATTERS IN LONDON ONTARIO Working Paper prepared for MCRI Research Project
“The Social Dynamics of Economic Performance: Innovation … 
",  Related articles  View as HTML ,0
1142,2009,119,[PDF][PDF] The Old City,"R Khamaisi, R Nasrallah, R Brooks, M Yunan… - 2009 - Citeseer","Page 1. Contributors Rassem Khamaisi Rami Nasrallah Robert Brooks Michael Yunan Meir
Margalit Abdalla Owais Jerusalem The Old City The Urban Fabric and Geopolitical Implications
Page 2. Jerusalem Old City: Urban Fabric and Geopolitical Implications 2 … 
",  Related articles  View as HTML ,0
1138,2009,119,"Opening Towns, Closing Frontiers","M Wolfe - Walled Towns and the Shaping of France, 2009 - Springer","… Military needs thus dominated design consider- ations for frontier towns. Opening
Towns Greater efficiency and accelerating modes of exchange became the litmus
of urban vitality, not walls of stone and imposing gates. As … 
",  Related articles  ,0
1133,2009,119,[PDF][PDF] NEW CONCEPTS FOR THE DISTRIBUTION OF GOODS,"D Breuil, C Hatfield, S Monteanu - civitas.eu","Page 1. NEW CONCEPTS FOR THE DISTRIBUTION OF GOODS Deliverable 10 of the
Success Project Authors: Dominique Breuil (Ecole d'Ingénieurs de Génie des Systèmes
Industriels, EIGSI) Chris Hatfield (Lancashire County Council, LCC) … 
",  Related articles All 2 versions  View as HTML ,0
1125,2009,120,The role of creative industries and governance for cities' competitiveness: The case of Lisbon and Barcelona,"I Salavisa, C Latoeira, A Roldão - 2009 - repositorio.iscte-iul.pt","… those regions, in order to contribute to formulate strategic guidelines for policymaking
and urban governance. At a further stage, they might support cities' competitiveness
and urban vitality, in the context of current global shifts … 
",  Related articles  View as HTML ,0
1166,2009,119,"From'Loser-Cruiser'to'Winner-Bago': increasing transit ridership in Kelowna, BC",A Schubel - 2009 - summit.sfu.ca,"… Socially, car-based cities are noisy and have high vehicular accident rates. Liveability is also
reduced through a loss of community, as casual interactions among pedestrians and transit
users are lost, and urban vitality is diminished as public space becomes … 
",  Related articles All 3 versions  View as HTML ,0
1168,2009,119,"[PDF][PDF] Undergraduate Bulletin for 2009-2011, Spring [2010 Edition]",DL Bello - 2009 - ir.stonybrook.edu,"… About Stony Brook Close to the historic village of Stony Brook at the geographic midpoint of Long
Island, the University campus lies about 60 miles east of Manhattan and 60 miles west of Montauk
Point, convenient both to New York City's urban vitality and cultural attractions … 
",  Related articles All 2 versions  View as HTML ,0
1239,2010,156,"The Teahouse: Small Business, Everyday Culture, and Public Politics in Chengdu, 1900-1950","D Li - History, 2010 - search.proquest.com","… and con- tributed to the shaping of the commer- cial culture that defined Chengdu.
Teahouses also embodied the city's everyday life and urban vitality. The teahouse
was not only a place for leisure, but also a multifunctional … 
",   ,0
1238,2010,156,Maywood A-Bridged: a thesis about engagement,LJ Worthey - 2010 - trace.tennessee.edu,"… Maurice Merleau-Ponty, The World of Perception, p. 87 1 Figure 1: Engagement
Page 12. no representation, doing jobs that support the urban vitality while remaining
themselves invisible. Maywood is an isolated community … 
",  All 2 versions  View as HTML ,0
1235,2010,156,[PDF][PDF] WHAT IS A PORTLAND FOOD CART?,PF Carts - probeinternational.org,"… awards. Tinker, Irene. Street Foods: Urban food and employment in developing
countries. New York: Oxford University Press, 1997 Urban Vitality Group. Food
Cartology: Rethinking Urban Spaces as People Places. No date. http … 
",  Related articles  View as HTML ,0
1227,2010,156,[PDF][PDF] URBAN DESIGN COMPETITIONS AS DISCURSIVE PRACTICE IN TURKEY: 1980-2009,C Özgen - 2010 - Citeseer,"Page 1. URBAN DESIGN COMPETITIONS AS DISCURSIVE PRACTICE IN TURKEY: 1980-2009
A THESIS SUBMITTED TO THE GRADUATE SCHOOL OF NATURAL AND APPLIED SCIENCES
OF MIDDLE EAST TECHNICAL UNIVERSITY BY DEVRİM ÇİMEN … 
",  Related articles All 3 versions  View as HTML ,0
1225,2010,156,Barcelona contemporary transformations: new centralities,KEALY MORGAN - 2010 - politesi.polimi.it,"… city include: less car dependency thus lower emissions, reduced energy consumption, better
public transport services, increased overall accessibility, the re-use of infrastructure and previously
developed land, a regeneration of existing urban areas and urban vitality, a higher … 
",  Related articles  View as HTML ,0
1220,2010,156,Study of the Interactive Effect about Urban Organic Update and Real Estate Market in Hangzhou,"R Wen - 2010 International Conference on Management and …, 2010 - ieeexplore.ieee.org","… That is due to natural and human environment congenital advantage as well as the government
initiated venture leisure culture in the recent years. Profound cultural heritage and urban vitality
attracted more and more people to want to invest and live in Hangzhou … 
",  Related articles All 2 versions  ,0
1219,2010,156,Between the city and sea: urban waterfront regeneration,M Sijakovic - 2010 - upcommons.upc.edu,"… idealized urban environment.”1 It is within these present difficulties that a space
has opened up in the city which allows expressions of hope for urban vitality. The
urban waterfront provides us with this space. On the waterfront … 
",  Related articles All 2 versions  View as HTML ,0
1217,2010,156,"[HTML][HTML] A Review of “The Teahouse: Small Business, Everyday Culture, and Public Politics in Chengdu, 1900–1950” Wang, Di, Stanford, CA: Stanford University …",D Li - 2010 - Taylor & Francis,"… of and contributed to the shaping of the commercial culture that defined Chengdu.
Teahouses also embodied the city's everyday life and urban vitality. The teahouse
was not only a place for leisure, but also a multifunctional … 
",   ,0
1216,2010,156,[PDF][PDF] URBP 236-Urban and Regional Development Policy Analysis Fall 2010,"HG Hall - Instructor, 2010 - sjsu.edu","… Shoup DC (1999), “In Lieu of Required Parking”, Journal of Planning Education and
Research 18: 307-320. Still B., Simmonds, D. (2000), “Parking Restraint Policy and Urban
Vitality”, Transport Reviews 20 (3): 291-316. 11) 11/9 Urban Sprawl … 
",   View as HTML ,0
1215,2010,156,[PDF][PDF] CREATIVITY-CULTURE AND TOURISM-CONTEMPORARY URBAN DEVELOPMENT STRATEGIES,"E KERIMOGLU¹, F GEZICI - www-sre.wu.ac.at","… and creation of value in contemporary economies, transversal to all activities and social practices
(from the cultural and more ―creative‖ through to all others), has a potential that may be explored
at the local level, within a logic of promoting urban vitality and competitively … 
",  Related articles All 3 versions  View as HTML ,0
1608,2012,239,POLICY CONTEXT,"J England - Retail Impact Assessment, 2012 - content.taylorfrancis.com","Page 1. 3 POLICY CONTEXT Approaches to RIA have evolved in parallel with the
development of plan- ning theory over the past 30 years. The concern with the
relationship be- tween theory and policy is important because, as … 
",   ,0
1607,2012,239,[PDF][PDF] Boom! Shenzhen,"MA O'DONNELL - Community Design, 2012 - hkszbiennale.org","… Zhang Yiwei. Installation: Lei Sheng Story from Taipei: The Intangibles: Urban Vitality
The exhibition investigates the renovation and reuse of historical buildings and URS
(urban regeneration stations). The Taipei government … 
",  All 3 versions  View as HTML ,0
1606,2012,239,Analysis of the Professional Market Settlement Paradigm Based on Mixed-use: A case study on work-live community in Xiaoshan Commercial Market,"XQ Zhu, CL Wang, T Jin - Applied Mechanics and Materials, 2012 - Trans Tech Publ","… 2) Activity Attribute: The service time of the householders focus between 7:00 and 17:00. However,
after 17:00, as the residential area lacks public place, urban vitality is also in shortage. Therefore,
throughout the night, the whole market appears to be very cheerless … 
",  Related articles All 3 versions  ,0
1605,2012,239,"Undergraduate Bulletin for 2012, Fall [Fall Edition]",DL Bello - 2012 - ir.stonybrook.edu,"… About Stony Brook Close to the historic village of Stony Brook at the geographic midpoint of Long
Island, the University campus lies about 60 miles east of Manhattan and 60 miles west of Montauk
Point, convenient both to New York City's urban vitality and cultural attractions … 
",  Related articles All 2 versions  View as HTML ,0
1604,2012,239,EFFECTIVE HOUSING DESIGN,"В Йоклова - Вестник Волгоградского государственного …, 2012 - elibrary.ru","… It is important to support urban vitality and street life Effective design parameter should answer
the conditions for design for all, design without barriers, design for vulnerable social groups,
seniors, students, young families, ethnic groups; accessibility of functions within walking … 
",   ,0
1601,2012,239,EFFECTIVE HOUSING DESIGN.,"V Joklova, A Bacova - … Arhitekturno-Stroitelnogo Universiteta …, 2012 - search.ebscohost.com","… It is important to support urban vitality and street life Accessibility and inclusion Effective design
parameter should answer the conditions for design for all, design without barriers, design for
vulnerable social groups, seniors, students, young families, ethnic groups; accessibility … 
",  All 2 versions  ,0
1596,2012,238,"[PDF][PDF] AOÇ, The Open Space of Ankara","M Shahri - space, 2012 - aocarastirmalari.arch.metu.edu.tr","… life to take place. Public space defines the urban structure and sets the framework
for the majority or the urban dynamics, being therefore a major factor in the definition
of urban vitality and quality of life.11 Among all types of … 
",  Related articles  View as HTML ,0
1594,2012,238,"A deficient picture of the city in the West-RAY LAURENCE, SIMON ESMONDE CLEARY and GARETH SEARS, THE CITY IN THE ROMAN WEST c. 250 BC-c. AD 250 …","J Sewell - Journal of Roman Archaeology, 2012 - cambridge.org","… Generally, areas with denser urban networks were more likely to receive imperial
favour, and produce more inscriptions. This model links urban vitality to the
relationship between the provincial élite and the political core. Here … 
",  All 3 versions  ,0
1588,2012,238,"[PDF][PDF] DISTINCT SCALES OF CENTRALITY. A comparative study of the Cariri metropolitan region in Ceará, Brazil.","APC GURGEL, E TRIGUEIRO - academia.edu","… Stemming from the idea of configuration accessibility, movement, land use and urban vitality
as indissociable aspects of urbanity, linear representation and quantification were developed
for the three towns as well as for the Crajubar triangle at global (Rn) and local (R3) levels … 
",  Related articles All 2 versions  View as HTML ,0
1587,2012,238,[PDF][PDF] OPEN SPACE DESIGN AS A TOOL FOR ADAPTING CITIES TO CLIMATE CHANGE: POSSIBILITIES FOR INTEGRAL APPROACH,"J Živković, K Lalović… - ECOLOGY OF URBAN …, 2012 - researchgate.net","… It extends the normative path that Jane Jacobs paved in The Death and Life of Great America
Cities–“that urban vitality and public safety are complementary-not contradictory-features of the
city, achieved through adjacencies of uses and people along with other generators of … 
",  Related articles  View as HTML ,0
1586,2012,238,"On the Historical Changes in South Lane Drums and"" Humanistic Beijing"" Construction","Z Zuqun - Journal of Beijing Institute of Technology (Social …, 2012 - en.cnki.com.cn","… Street[J];Fujian Architecture & Construction;2010-07. 6, Mao Liqing;Central District
Planning that Regenerates Urban Vitality——Taking Gera of Germany as an
Example[J];Planners;2007-05. 7, ZHANG Zu-qun ZHU Liang-miao … 
",  Related articles  Cached ,0
1585,2012,238,Application of Fracturing Effect Evaluation Method Based on Euclid Approach Degree in Jiyuan Oilfield,"C Peng, DU Rui-pan, S Peng-ju… - Liaoning Chemical …, 2012 - en.cnki.com.cn","… 1.Department of Urban and Region Planning,Nanjing University,Nanjing 210093;2.College of
Hydrology and Water Resources,Hohai University,Nanjing 210093;3.Zhejiang Reclaim
Construction Group CU.LTD.,Ningbo 315040,China);Evaluation of Urban Vitality Based on … 
",  Related articles  Cached ,0
1584,2012,238,The Type and Layout of the High-rise Building,"G Xia - Urbanism and Architecture, 2012 - en.cnki.com.cn","… 2, Zhu Xuechen;Natural Prototype in Contemporary Architecture[J];Huazhong Architecture;2008-
12. 3, Wang Zheng Mei Hongyuan Zhao Qiuyang;Adjusting the Urban Vitality with
Architecture:Innovative Architectural Form and ""Re-urbanization""[J];Huazhong Architecture;2012 … 
",   Cached ,0
1583,2012,238,Functional Integration of Contemporary High-Rise Buildings,"ZM Hou, JW Yao, CY Zhao - Applied Mechanics and Materials, 2012 - Trans Tech Publ","… expanded. People staying at home can engage in various activities. Infinite space gives
the virtual body, new architectural and urban vitality and energy. This change also led
to high-rise buildings in the future there are more optional … 
",  All 4 versions  ,0
1582,2012,238,[PDF][PDF] URBAN CHARACTERISTICS: THE CLASSIFICATION OF COMMERCIAL STREETS IN BAGHDAD CITY,AJ Al-Akkam - researchgate.net,"… conservation, diversity, connectivity, economy and equity. It must also employ effective
design strategies in managing physical conservation, and in upgrading and promoting
urban vitality [11]. The commercial streets, being the … 
",  Related articles All 2 versions  View as HTML ,0
1675,2012,240,NOTE 14p.,PT Recruitment - ERIC,"… Even if we do not spend much time with- in city limits, urban vitality is essential for the entire
country to generate the productivity, cre- ate the the opportunity, and achieve the promise of a
better future for everyone. Our nation and our cities face a common destiny … 
",   View as HTML ,0
1670,2012,240,"[PDF][PDF] Property in Land and Other Resources, edited by Daniel H. Cole and","R De Young, H Hodges - researchgate.net","… In each case study, the authors provide many facts and details about the history and efforts of
the local community to encourage economic transformation, urban vitality, and economic growth.
They collected this information through semistructured field interviews in each city … 
",  Related articles  View as HTML ,0
1660,2012,240,Local Culture on the Reuse of old Buildings in Industrial Area,W Zhang - 2012 - diva-portal.org,"Page 1. Local Culture on the Reuse of old Buildings in Industrial Area -An Urban Design Proposal
for the Mufu Mountain Area in Nanjing Author: Wei Zhang Supervisor: Ana Mafalda Madureira
Submitted to Blekinge Tekniska Högskola for the Master of Science … 
",  Related articles  View as HTML ,0
1658,2012,240,Philip K. Dick's disturbanism: towards psychospatial readings of science fiction: David T. Fortin,"S Edwards, J Charley - Writing the Modern City, 2012 - taylorfrancis.com","… Most of the settlements in Martian Time-Slip, for example, lack urban vitality which Bohlen contrasts,
in a Jacobs-like appreciation, to New Israel with its 'atmosphere of commerce and activity,' like
the cities he remembers on Earth (Dick 2008a: 33), and while Bohlen makes … 
",  Related articles  View as HTML ,0
1647,2012,240,[PDF][PDF] Occupying Spatial Dimensions in Media,L Bondarenko - 2012 - surface.syr.edu,"… a built construct. Hybrid Vernacular: The most permanent fixture of the city, the street,
serves as backdrop the public urban vitality after individual programmatic Page 32.
31 A. Re-commissioning the Grid Page 33. ambitions in … 
",  All 2 versions  ,0
1640,2012,240,Literary Voices I: The Built Environment and Memoryscapes in Brigitte Reimann and Uwe Tellkamp,"A Fuchs - After the Dresden Bombing, 2012 - Springer",,  Related articles  ,0
1637,2012,240,[PDF][PDF] Editor: POLIS University Loris Rossi Ledian Bregasi,"B Belaćević, R Toto, E Barjami, S Jojic, V Qerimi… - academia.edu",,  Related articles All 2 versions  View as HTML ,0
1633,2012,240,[PDF][PDF] CANALSIDE TRANSFORMATION AND REUSE. MASTER PLANNING FOR GLASGOW BRANCH,D Babalis - THE LANGUAGES OF REUSE - research.tue.nl,,  Related articles All 2 versions  View as HTML ,0
1580,2012,240,Knowledge and preservation of ancient Rhodes. From a typological analysis of urban fabric to a practical project for urban heritage,E Maglio - 2012 - halshs.archives-ouvertes.fr,"… hierarchy . XI In the 4th century the early Christian town had to have a smaller perimeter, following
the model of the Roman castrum structured on the old Greek P6 and P31 streets. Various remains
and fragments show an unmistakable urban vitality: . IX Gabrielsen, V. 1997 … 
",  Related articles All 7 versions  View as HTML ,0
1578,2012,240,"[PDF][PDF] Is Urbanised City Sustainable? A Case Study of Denpasar, Bali","T Prajnawrdhi, A Sivam, S Karuppannan - academia.edu","… Denpasar. This paper attempts to discover the quality of urban vitality in Denpasar
by assessing it through Urban Design Principles. The findings would improve the urban
vitality to achieve a sustainable city for Denpasar. Keywords … 
",  Related articles All 2 versions  View as HTML ,0
1463,2011,192,[PDF][PDF] Dunedin City Council 2009 Central Business District Parking Strategy and Its Effects on the Retail Sector,N Arron - 2011 - urbanafoot.com,"Page 1. DUNEDIN CITY COUNCIL 2009 CENTRAL BUSINESS DISTRICT PARKING
STRATEGY AND ITS EFFECTS ON THE RETAIL SECTOR MSc International Planning and
Development Nina Arron C0940676 Page 2. 3 ACKNOLWEDGEMENTS … 
",   View as HTML ,0
1461,2011,192,[PDF][PDF] The Taco Truck: Morphology and Assemblage of an American Object,JA Contreras - 2011 - conservancy.umn.edu,"Page 1. The Taco Truck: Morphology and Assemblage of an American Object SUBMITTED TO
THE FACULTY OF THE GRADUATE SCHOOL OF THE UNIVERSITY OF MINNESOTA BY Joaquín
Alvarado Contreras IN PARTIAL FULFILLMENT OF THE REQUIREMENTS … 
",  Related articles All 2 versions  View as HTML ,0
1457,2011,192,Jorge Guillén's Radiant Matter: A Sensational Knowledge,"C Gala - Poetry, Physics, and Painting in Twentieth-Century …, 2011 - Springer","Page 1. Chapter 2 Jorge Guillén's Radiant Matter: A Sensational Knowledge For Jorge
Guillén the paradigm- altering advances in science brought no estrangement between
science and the arts. In El argumento de la obra (The … 
",   ,0
1453,2011,192,[PDF][PDF] Tarihi Mekânlarda Koruma ve İşlevsel Yenileme: Uşak Paşa Hanı ve Çevresi,"N KOÇAN - Journal of Science and Technology Institute, 2011 - dergipark.org.tr","… [7] Kaya, E., Şentürk, H., Danış, O., Şimsek, S., Kent-Kentleşme ve Kent Yönetimi, Modern Kent
Yönetimi-1, s. 134, Okutan Yayıncılık, İstanbul,(2007). [8] Montgomery, J., Urban Vitality and the
Culture of Cities Planning. Practice-Research, 10 (2), s. 101–109,(1995) … 
",  Related articles All 2 versions  View as HTML ,0
1452,2011,192,[PDF][PDF] Date valid 29 October 2010,WC Common - moderngov.lambeth.gov.uk,"… 7.10 Saved UDP Policy 19 states that development in town centres, local centres, along the
main pedestrian routes and elsewhere where it would promote urban vitality and/or
regeneration, should have uses with active frontages open to the public … 
",  Related articles All 2 versions  View as HTML ,0
1451,2011,192,"Fitting the Knowledge Economy Jigsaw Piece for Belleville, Ontario: Benchmarking Performance with Canadian Cities and Underpinning the Role of Downtown",B McCrady - qspace.library.queensu.ca,,   View as HTML ,0
1448,2011,192,"[BOOK][B] Architecture Occupation A sky community culture center in traditional district, Guangzhou",J Xie - 2011 - search.proquest.com,,  All 2 versions  ,0
1446,2011,192,Boxing with Brecht: David Mamet and Bertolt Brecht,"IB Nadel - Journal of Dramatic Theory and Criticism, 2011 - muse.jhu.edu",,  Related articles All 2 versions  ,0
1442,2011,192,[PDF][PDF] COMMUNICATION WITH YOUR INSTRUCTOR,C CONTENT - appsrvsp.sdstate.edu,,  Related articles  View as HTML ,0
1438,2011,192,Renaissance of Cultural Identity-historic districts regeneration in Beijing inner city,J Wang - 2011 - repository.tudelft.nl,"… Then my analysis focus on finding out the conflict between preserve historic identity
in city center and modernization under influence of market. Strategy goal was to
activating cultural identity and strengthen urban vitality. Meanwhile … 
",  All 2 versions  Cached ,0
1474,2011,191,[PDF][PDF] Lifting the Lid Off the Loop,KE Rossing - academia.edu,"Page 1. 183 Underground Development in Downtown Chicago by Katy E. Rossing
Lifting the Lid Off the Loop I. Introduction The Chicago Reader published this letter
in 2009: In the Dresden Files books, which are set in Chicago … 
",  Related articles  View as HTML ,0
1575,2012,240,The Research on Method of Regional Urban Design Oriented by Gene Recombination Concept,"YH Xu, N Wei, Y Huang - Advanced Materials Research, 2012 - Trans Tech Publ","… introduced in modern urban design. Jacobs said, “The premise of restoring the urban
vitality is having diversity, and the diversity comes from the regional traditional of
city including local historic and culture”. At the same time … 
",  Related articles All 2 versions  ,0
1574,2012,240,"Originality Guide, Rational Design, Management Combine: Wuxi Taihu New City Case","W Chenghua, D Juan - Planners, 2012 - en.cnki.com.cn","… area on both sides of GongHu avenue, wuxi Tai Hu new city with urban design view, focused
research the spatial order, function, environment and culture; Rely on the main axes and resource,
create the multiple and complementary functions, add urban vitality; take people first … 
",   Cached ,0
1573,2012,240,"Bangkok Synergy: A synergetic spatial vision to preserve Bangkok heritage, integrated with rapid mass transit system",T Patarakiatsan - 2012 - repository.tudelft.nl,"… from global interventions by the government. Therefore, it is very significant to promote
urban vitality that enhances not only their living quality, but also economic viability
and social cohesion. Thanks to the mass transit system … 
",   Cached ,0
1571,2012,240,A Research on the Urban Landscape Value Evaluation Based on AHP Algorithm,"J Shao, J Zhou, J Yang, H Liu - Proceedings of the 2011 2nd International …, 2012 - Springer","… As the important support for the normal operation of the urban socioeconomic sys- tem, the urban
landscape has obvious visual features and functional relationship. It carries the deepest urban
cultural connotation, revealing the urban vitality and in- telligence … 
",  Related articles All 4 versions  ,0
