,a,b,c,d,e,f,cite
2464,2015,283,Quality Analysis and Integrated Assessment of Residential Environment of Developing Suburban Settlements,D Lazauskaitė - 2015 - dspace.vgtu.lt,"Page 1. VILNIUS GEDIMINAS TECHNICAL UNIVERSITY Dovilė LAZAUSKAITĖ QUALITY
ANALYSIS AND INTEGRATED ASSESSMENT OF RESIDENTIAL ENVIRONMENT OF
DEVELOPING SUBURBAN SETTLEMENTS DOCTORAL DISSERTATION … 
",  Related articles All 2 versions  View as HTML ,0
2462,2015,283,Placemaking for socially resilient site design: a study focused on further defining social resilience at the site scale through an ethnographic investigation.,AR Glastetter - 2015 - krex.k-state.edu,"Page 1. PLACEMAKING FOR SOCIALLY RESILIENT SITE DESIGN by ABIGAIL R.
GLASTETTER A THESIS submitted in partial fulfillment of the requirements for the
degree MASTER OF LANDSCAPE ARCHITECTURE Department … 
",   Library Search View as HTML ,0
2456,2015,283,[PDF][PDF] Messenger,"BYD TELL - Editor and Publisher, 2015 - midtownmessenger.com","Page 1. ■ BY DAVID TELL, MESSENGER EDITOR The city late last month filed its
answer to the Roosevelt Action Associa- tion's (RAA) appellate brief in the matter of
its standing to sue over the City Board of Adjust- ment's ruling … 
",  All 9 versions  View as HTML ,0
2455,2015,283,"[PDF][PDF] En este contexto de reformulación de la práctica de la regeneración urbana, uno de los retos actuales de las Escuelas de Arquitectura es cómo abordarla …","PG García, A Gracia, A Lezcano, SP Liarte, C Palacio… - researchgate.net","… This is an important issue concerning the condition of the district encircled by wide avenues, with
the recent implementation of tram line 1, the challenge of a gradual pedestrianisation, which deals
with issues of urban vitality, accessibility, functionality and theming … 
",  All 2 versions  View as HTML ,0
2454,2015,283,Slavic Village Neighborhood Retail Market Study,K Date - 2015 - engagedscholarship.csuohio.edu,"… led the revitalization and restoration of urban neighborhood life – attracting new residents and
small business owners from the “Millennial” and “Empty Nester” groups – young people and
mature adults alike looking for a neighborhood community lifestyle, urban vitality, and a … 
",  All 3 versions  View as HTML ,0
2451,2015,283,Making Cities More Livable and Environmentally Compatible,"J Barnett, L Beasley - Ecodesign for Cities and Suburbs, 2015 - Springer","… and not in others. Residences are often not permitted in commercial districts, a
particularly damaging requirement because twenty-four-hour use is an important
component of urban vitality and safety. Office parks, hotels, shopping … 
",   ,0
2445,2015,283,"[PDF][PDF] Rosemary Scanlon, Chair","NV Gopal, ES Lee - ademloos.be","Page 1. Page 2. TransitCenter is an independent, civic philanthropy that sparks innovations and
supports policies to improve public transportation. We believe that fresh thinking can change
the transportation landscape and improve the overall livability of our cities … 
",  Related articles All 5 versions  View as HTML ,0
2444,2015,283,[PDF][PDF] The Future of the American Suburb,D Levin - academia.edu,"… Critiques on the modern suburban style (see “Suburban” suburbs overleaf) began in earnest
in the 1960s. Prominent urbanist Jane Jacobs wrote in 1961 that the keys to urban vitality
was not the suburban form of single uses on large lots, but rather … 
",  Related articles  View as HTML ,0
2442,2015,283,Dickens to Lean: From Great Expectations to Great Adaptation (s),"R Petković - ANGLISTICUM. Journal of the Association-Institute …, 2015 - anglisticum.org.mk","… Writing on the theme of the city in Dickens‟s work, and on the late fiction in particular, Murray
Baumgarten states: “For Dickens London is not only a conflicted city, in transition, but one whose
explosive urban vitality depends upon the yoking together of its contradictions” (2001 … 
",  Related articles  View as HTML ,0
2441,2015,283,[PDF][PDF] Systems and solutions for socio-spatial wastes,V KELLY - unmakingwaste.org,"Page 1. 184 Unmaking Waste 2015 Conference Proceedings 22 – 24 May 2015 Adelaide, South
Australia Systems and solutions for socio-spatial wastes Session 6 Accessibility and urban vitality:
Space syntax analysis of Bejing's food markets – Sheng QIANG (paper pending) … 
",  Related articles  View as HTML ,0
2440,2015,283,[PDF][PDF] 지역자산을 활용한 연안정주지 활성화방안에 관한 연구: 영도대교 주변 수변지역 자산을 중심으로,"박성은， 권도헌， 이석환 - 한국산학기술학회 논문지, 2015 - jkais99.org","… Regional assets-based culture experience can be provided by building cultural tourism
infrastructure through this and local economy and local community activation can be
expected by providing urban vitality base of coastal settlement areas … 
",  All 2 versions  View as HTML ,0
2439,2015,283,[PDF][PDF] Transformation of Northeast China: from an Economic Leader to a Follower,"F Jin - Macroeconomic Management, 2015 - rereajournal.net","Page 1. 3 Transformation of Northeast China: from an Economic Leader to a Follower
Transformation of Northeast China: from an Economic Leader to a Follower Fengjun Jin* (Key
Laboratory of Regional Sustainable Development Modeling, Institute of Geographic … 
",  Related articles All 3 versions  View as HTML ,0
2438,2015,283,بررسی میزان انطباق فضاهای عمومی شهری با نیازهای زنان شهر ارومیه‎,"پورمحمدی, خضرنژاد, پخشان, احمدی, پولاد, جهان بین - زن در توسعه و سیاست, 2015‎ - jwdp.ut.ac.ir","Page 1. رد نز ﺖﺳﺎﻴﺳ و ﻪﻌﺳﻮﺗ ةرود ، 13 ةرﺎﻤﺷ ، 1 ، رﺎﻬﺑ 1394 :23 ـ 40 ﺳرﺮﺑ ﻲ ﻣﻴ ناﺰ قﺎﺒﻄﻧا ﺎﻫﺎﻀﻓ ي ﻣﻮﻤﻋ ﻲ ﺮﻬﺷ
ي ﺎﺑﻧﻴ ﺎﻫزﺎ ي نﺎﻧز ﺮﻬﺷ ﻣورا ﻴﻪ يﺪﻤﺤﻣرﻮﭘ ﺎﺿرﺪﻤﺤﻣ 1 ، داﮋﻧﺮﻀﺧ نﺎﺸﺨﭘ 2* ، يﺪﻤﺣا دﻻﻮﭘ 3 ، نﺎﻬﺟ ﺎﺿر ﻦﻴﺑ 4 هﺪﻴﻜﭼ و ﺖﻴﺒﺜﺗ
ياﺮﺑ ﻲﻳﻮﮕﻟا ﻲﺣاﺮﻃ ﺮﺛﺆﻣ ﻤﻫ رﻮﻀﺣ ندﺮﻛ ﺔ ﺑ ناﺪﻧوﺮﻬﺷ ﻪ ﺔﻟﺰﻨﻣ ﻲﮔﮋﻳو ﻲﻳﺎﺳﺎﻨﺷ نوﺪﺑ لﺎﻌﻓ ﻲﻧاﺮﮕﺸﻨﻛ ﺎﻫ و … 
‎",  All 2 versions  View as HTML ,0
2436,2015,283,คำถาม ต่อ ทิศทาง การ ฟื้นฟู อาคาร-ย่าน เก่า แก่ เพื่อ กำ ร ท่องเที่ยว บน พื้นฐาน ของ ความ โหย หา อดีต-แท้ หรือ เท็จ: กรณี ศึกษา ประเทศไทย,"ศิริ เพ็ญ เยี่ยม จรรยา - RMUTL Journal of Business Administration and …, 2015 - tci-thaijo.org","Page 1. 50 RMUTL Journal of Humanities and Social Sciences Vol. 3 No.2 Jul. – Dec.
2015 คำถำมต่อทิศทำงกำรฟื้นฟูอำคำร-ย่ำนเก่ำแก่เพื่อกำรท่องเที่ยวบนพื้นฐำนของควำมโหย
หำ อดีต-แท้หรือเท็จ: กรณีศึกษำ ประเทศไทย A Question towards … 
",  Related articles  View as HTML ,0
2433,2015,283,[HTML][HTML] 基于人类时空活动的城市土地利用分类研究,"鲁国珍， 常晓猛， 李清泉， 赵庆亮 - 地球信息科学学报, 2015 - dqxxkx.cn","… SNSs), and etc. They are good indicators for the social function of land use and urban
vitality. We proposed types of indices to bridge the relationships between the
intensities of human activities and land covers. Similar to the … 
",  Related articles All 9 versions  Cached ,0
2432,2015,283,"Modeling walkability: the effects of street design, street-network configuration and land-use on pedestrian movement","AO Torun, D Yesiltepe, G Argin - ITU Journal of the Faculty of …, 2015 - nrl.northumbria.ac.uk","Page 1. Citation: Torun, Ayse Ozbil, Yesiltepe, Demet and Argin, Gorsev (2015) Modeling
walkability: the effects of street design, street-network configuration and land-use on pedestrian
movement. ITU Journal of the Faculty of Architecture AZ, 12 (3). pp. 243-255 … 
",  Related articles All 2 versions  View as HTML ,0
2427,2015,283,Policy Entrepreneurs & the Creative City: Igniting Toronto's Cultural Renaissance,"SBD Goldberg-Miller - United States Association for Small …, 2015 - search.proquest.com","Page 1. Policy Entrepreneurs & the Creative City: Igniting Toronto's Cultural Renaissance
Shoshanah BD Goldberg-Miller Assistant Professor, The Ohio State University 245C
Sullivant Hall, 1813 North High Street, Columbus, Ohio 43210 … 
",  Related articles  ,0
2473,2015,283,Investigating the transferability of the Workplace Parking Levy,J Burchell - 2015 - dspace.lboro.ac.uk,"Page 1. Loughborough University Institutional Repository Investigating the transferability of the
Workplace Parking Levy This item was submitted to Loughborough University's Institutional
Repository by the/an author. Additional Information: • A Doctoral Thesis … 
",  Related articles All 3 versions  Library Search View as HTML ,0
2478,2015,283,[PDF][PDF] Working Papers in Applied Economics Economics,E Reig - 2015 - 147.156.210.157,"Page 1. WPAE-2015-09 Calidad de vida en las ciudades del Área Metropolitana de
Valencia: un análisis comparativo con DEA y MCDA by Ernest Reig December 2015
Departamento de Estructura Económica (Economía Aplicada … 
",  Related articles All 3 versions  View as HTML ,0
2582,2016,330,[PDF][PDF] Enhance the profound vitality of urban villages,Y Yang - 2016 - repository.tudelft.nl,"… How to enhance profound vitality of urban villages in Dalang through self-organized spatial
transformation? Page 23. What is urban vitality? Page 24. Intensity, Diversity and Continuity Of
Human Activities … image source: internet Urban Vitality Urban Vitality Page 25 … 
",   View as HTML ,0
2517,2015,281,"[PDF][PDF] Incura Ergo, de alles in één praktijksoftware om mee weg te lopen","M Van den Berg, M De Boer, D Bunne, LM Dag - ergotherapie.nl","Page 1. Margo van Hartingsveldt over kinderen met schrijfproblemen: Beter schrijven, meer
zelfvertrouwen Game on in e-health: Spelletjes effectiever dan apps Zitwijs methodiek: Best
passend rolstoel-recept EM nr. 02 '15 Ergotherapie Magazine - jaargang 43 - mei 2015 incl … 
",  Related articles  View as HTML ,0
2515,2015,281,[PDF][PDF] An examination of small and medium enterprise innovation in an emerging market economy,D Games - 2015 - research-repository.uwa.edu.au,"Page 1. An examination of small and medium enterprise innovation in an emerging market
economy Donard Games This thesis is presented for the degree of Doctor of Philosophy of The
University of Western Australia UWA Business School Marketing 2015 Page 2. Page 3. i … 
",  Related articles All 3 versions  Library Search ,0
2513,2015,281,The Church's involvement in the economic life of Early Christian Greek towns,E Zisimou-Tryfonidi - 2015 - etheses.bham.ac.uk,"… town planning predominated in these descriptions; this has been interpreted as correspondence
to the historical reality of a diminishing urban vitality in the sixth century.32 A decisive contribution
to the alterations observed in the public spaces from the fourth … 
",  Related articles All 3 versions  Library Search View as HTML ,0
2511,2015,281,Agenda praktijkgericht onderzoek health: Topsector Life Sciences & Health,"H Hobbelen, JJ Reinders, K Alfenaar, W van Gastel… - 2015 - research.hanze.nl","Page 1. 1 Agenda Praktijkgericht Onderzoek Health Topsector Life Sciences & Health
Oktober 2015 Page 2. 2 Aanbieding door Stuurgroep Agenda Praktijkgericht
Onderzoek Health Vlak voor de zomer van 2015 publiceerde … 
",  All 3 versions  View as HTML ,0
2510,2015,281,แนวทาง การ ฟื้นฟู ย่าน พาณิช ย กรรม ศูนย์กลาง เมือง เพื่อ สร้าง ความ หลากหลาย กรณี ศึกษา พื้นที่ สีลม,อ นา วิ ล เจียม ประเสริฐ - cuir.car.chula.ac.th,"Page 1. แนวทางการฟื้นฟูย่านพาณิชยกรรมศูนย์กลางเมืองเพื่อสร้างความหลากหลาย กรณีศึกษา พื้นที่สีลม
นายอนาวิล เจียมประเสริฐ วิทยานิพนธ์นี้เป็นส่วนหนึ่งของการศึกษาตามหลักสูตรปริญญาการวางแผนภาคและ
เมืองมหาบัณฑิต สาขาวิชาการออกแบบชุมชนเมือง ภาควิชาการวางแผนภาคและเมือง … 
",  Related articles  View as HTML ,0
2508,2015,281,[PDF][PDF] From Mozart to Schumpeter: A Triple Helix System approach for enhancing innovation in the Salzburg region of Austria,"M Ranga, L Garzik - academia.edu","Page 1. From Mozart to Schumpeter: A Triple Helix System approach for enhancing
innovation in the Salzburg region of Austria Page 1 Ranga, M. and Garzik, L. (2015),
From Mozart to Schumpeter: A Triple Helix Systems approach … 
",  Related articles All 3 versions  View as HTML ,0
2505,2015,281,[PDF][PDF] Intersections between high-end art and finance in the global city,F Caset - lib.ugent.be,"… economic development. While the arts have only recently become an important part of economic
development strategies (Currid; 2007; Kong et al., 2015; Kim, 2001), creative people and their
innovations have long been thought to be generators of urban vitality (Jacobs, 1961) … 
",  Related articles All 4 versions  View as HTML ,0
2503,2015,281,"[HTML][HTML] 1.1. City villages: More homes, better communities–Adonis","A Adonis - City, 2015 - ippr.org","… accommodate more housing (ibid). Continuing to build on greenfield land, while there
are still brownfield sites available, would destroy urban vitality as well as creating
environmentally damaging suburban sprawl. We argued that … 
",  Related articles  Cached ,0
2497,2015,282,Quality Analysis and Integrated Assessment of Residential Environment of Developing Suburban Settlements/Priemiestinių vietovių gyvenamosios aplinkos kokybės …,D Lazauskaitė - 2015 - vb.vgtu.lt,"Page 1. VILNIUS GEDIMINAS TECHNICAL UNIVERSITY Dovilė LAZAUSKAITĖ QUALITY
ANALYSIS AND INTEGRATED ASSESSMENT OF RESIDENTIAL ENVIRONMENT OF
DEVELOPING SUBURBAN SETTLEMENTS DOCTORAL DISSERTATION … 
",  Related articles  View as HTML ,0
2496,2015,282,Investigating diversity in the function of shelter,SN Dlamini - 2015 - repository.up.ac.za,"Page 1. Investigating diversity in the function of shelter by Sizwile Dlamini Treatise submitted
in partial fulfilment of the requirements for the degree of Master of Science (Real Estate) in the
Faculty of Engineering, Built Environment and Information Technology … 
",  Related articles  Library Search View as HTML ,0
2487,2015,282,Collaborative Conservation: How the Heritage and Environmental Conservation Movements Can and Should Unite for Progress,KM Rispoli - 2015 - search.proquest.com,"… 11 National Trust for Historic Preservation et al., Older, Smaller, Better: Measuring How the
Character of Buildings and Blocks Influences Urban Vitality (May 2014), 15. 10 Page 12. This
shared interest has been recognized independently through the actions of the two … 
",  Related articles  Library Search ,0
2485,2015,282,Low complexity time domain interleaved transceivers for satellite and wireless communications,SW Nayyef - 2015 - theses.ncl.ac.uk,"Page 1. The Ability of the Local Planning Authority to Implement Zoning Regulations:
A Case Study of Jeddah, Saudi Arabia By Mansour Rifaat M. Helmi A Thesis Submitted
in partial fulfilment for the Degree of Doctor of Philosophy … 
",  All 2 versions  Library Search View as HTML ,0
2483,2015,282,Redevelopment on the periphery: An examination of the changing status of Armadale within successive strategic plans for Perth and corresponding revisions to local …,SD Luscombe - 2015 - espace.curtin.edu.au,"Page 1. Department of Urban and Regional Planning Redevelopment on the periphery: An
examination of the changing status of Armadale within successive strategic plans for Perth and
corresponding revisions to local planning schemes Simon David Luscombe … 
",  Related articles  View as HTML ,0
2481,2015,282,THE CREATIVE INDUSTRY Regenerating industrial heritage in Rome,M Nyström - 2015 - gupea.ub.gu.se,"Page 1. Maria Nyström Degree project for Master of Science (Two Year) in Conservation 60 HEC
Department of Conservation University of Gothenburg 2015:24 THE CREATIVE INDUSTRY
Regenerating industrial heritage in Rome Page 2. Page 3. THE CREATIVE INDUSTRY … 
",  Related articles All 2 versions  View as HTML ,0
2185,2014,238,"Screen, Simulation, Situation: An Archaeology of Early Film Animation, 1908-1921.",DM McKenna - 2014 - curve.carleton.ca,"Page 1. Screen, Simulation, Situation: An Archaeology of Early Film Animation, 1908-1921. by
Daniel McKenna A thesis submitted to the Faculty of Graduate and Postdoctoral Affairs in partial
fulfillment of the requirements for the degree of Master of Arts in Film Studies … 
",  Related articles  ,0
1687,2012,234,"[PDF][PDF] Department of Environmental and Geographical Sciences and African Centre for Cities, University of Cape Town Rondebosch, South Africa",J Robinson - 2012 - researchgate.net,"Page 1. 1 Urban Geography, 2012, 33, 2, pp. 1–XXX. http://dx.doi.org/10.2747/0272-3638.33.
2.1 Copyright © 2012 by Bellwether Publishing, Ltd. All rights reserved. (RE)THEORIZING CITIES
FROM THE GLOBAL SOUTH: LOOKING BEYOND NEOLIBERALISM1 … 
",  Related articles All 2 versions  View as HTML ,0
1865,2013,278,[PDF][PDF] Re-qualifying historical spaces: Usak historical train station,"N KOCAN - African Journal of Agricultural Research, 2013 - academicjournals.org",,  Related articles All 2 versions  View as HTML ,0
1888,2013,279,[HTML][HTML] Collaborative Experiments in New Ways of Living: Vancouver in the Post Post-Industrial Economy,J Chapman - 2013 - open.library.ubc.ca,"Learning, knowledge, research, insight: welcome to the world of UBC Library,
the second-largest academic research library in Canada.
",   Cached ,0
1883,2013,278,Quo Vadis Civitas?–Thoughts on the European Conception of the City Today,"K Broner-Bauer - Baltic Journal of Art History, 2013 - ojs.utlib.ee","… When organizations offering jobs and searching for the best employees, for instance
technology or media enterprises, move to the same places as creative people, dynam-
ic synergy is developed, which is the basic criterion of urban vitality … 
",  Related articles All 5 versions  View as HTML ,0
1879,2013,278,The role of shopping malls in shaping the Lisbon Metropolitan Area: The Amoreiras Shopping Center case study,J Cardim - 2013 - recil.ulusofona.pt,"… the shopping Center project Can, through architectural devices – such as Dolce Vita's covered
square –, Contribute to a better urbanity and Sense of place, in the Suburbs – that often lack quality
public spaces – as well as in the city center – to enhance the urban vitality of some … 
",  Related articles All 3 versions  View as HTML ,0
1872,2013,278,"the city—'Porta Susa'Railway Station, Turin","A Maahsen-Milan - Urban Transport XIX, 2013 - books.google.com",,  Related articles All 5 versions  ,0
1870,2013,278,[PDF][PDF] Sourcing Scarcity,M Alrabe - 2013 - surface.syr.edu,,  Related articles All 2 versions  ,0
2184,2014,238,[PDF][PDF] CityCamp Papers volumen 1 http://citycamp. la,"M Portela, LP Errandonea, MP Villar, C Reynaga… - researchgate.net","Page 1. ISSN 2408-4484 Page 2. CityCamp Papers volumen 1 http://citycamp.la/
Editores Manuel Portela, Lucía Paz Errandonea, Martín Pablo Villar Comité de
selección Cristian Reynaga Gabriel Weitz Valentín Muro Equipo … 
",  Related articles All 2 versions  View as HTML ,0
1862,2013,278,"Reinventing Smart, Green, and Inclusive Mobility in Cities","V Mega - Quintessential Cities, Accountable to the Future, 2013 - Springer","… transport. Many cities impose vehicle size or weight restrictions, or limit access in certain
areas. A balance has to be struck between access requirements, essential to urban
vitality, and transport and environmental objectives. Urban … 
",   ,0
1859,2013,278,[PDF][PDF] Analysis of the Spatial Characteristics of Commercial Streets in China's Southern Cities: A Case of Three Commercial Streets in Suzhou,"G WEI, Z JIANG - isocarp.net","… Rationally utilizes the historical and cultural resources of the block, develops the tertiary industry
with cultural connotation and high quality, and makes it to be urban vitality belt with unique cultural
landscape Page 5. Wei, Gang, Jiang, Zhaohui 49th ISOCARP Congress 2013 … 
",  Related articles  View as HTML ,0
1857,2013,278,Challenges of sustaining memories of,"Y ushi Utaka - Asian Heritage Management: Contexts, Concerns …, 2013 - books.google.com","… certainly with a new interpretive dimension. Complete removal of its urban vitality
from the Castle Town to emphasize the legacy of the historic castle will be a signiﬁcant
issue. Commercial development within the Castle Town … 
",  Related articles All 2 versions  ,0
1855,2013,278,When creativity is the solution: how to transform Makkah into a creative city,"SA Alamoudy - WIT Transactions on Ecology and the Environment, 2013 - witpress.com","… Landry inspires me with his full method of planning and idea of a range of characteristics that
is significant to positive development strategies, including an approach based both on planned
order, and the urban vitality arising from unplanned, slightly chaotic development … 
",  Related articles  View as HTML ,0
1854,2013,280,Flows,"K Dovey - Fluid City, 2013 - taylorfrancis.com","… stamp a rational hierarchical order on the city - a place for everything and everything in its
place.25 These approaches were different, but united in the celebration of the diverse flows of
urban life and in a quest to understand underlying principles of urban vitality - perhaps best … 
",   View as HTML ,0
1842,2013,279,New Downtown-Ideas for the City of Tomorrow,"R Marshall - Emerging Urbanity, 2013 - content.taylorfrancis.com","… In line with the renewed emphasis on urban vitality, the Central Area is once again a major focus
for residential development … The New Downtown plays a significant role in the 2001 Concept
Plan, both as a new place to live and also as a new location for urban vitality … 
",   ,0
1841,2013,279,Desert Urbanism,"N Ellin - Design with the Desert: Conservation and Sustainable …, 2013 - books.google.com","… Research also highlights the importance of urban vitality for economic vitality since corporate
headquarters and young talented people choose to locate in the most vibrant cities (Figure 25.3).
4 25.4 Retrofitting Metro Phoenix Phoenix, Arizona epitomizes urban sprawl … 
",  Related articles All 4 versions  ,0
1840,2013,279,[PDF][PDF] System Dynamics Modeling To Evaluate the Capacity Utilization of LRT System to Cater Increasing Demand,"A Alwi, RAAOK Rahmat - International Proceedings of Economics …, 2013 - ipedr.com","… that learning through experiences of various projects abroad is emphasized in order to introduce
LRT system successfully in urban regions, in which it could create the interactions between the
high-quality public transport, real estate development and urban vitality [7] In Tunis … 
",  Related articles  View as HTML ,0
1903,2013,279,"[PDF][PDF] Published in: Gender, Place and Culture (2013) Vol. 20. No. 8, 939-959.","H Jarvis - Gender, Place and Culture, 2013 - academia.edu","… This is evident below in examples of co-parenting following separation. Overcoming Isolation
A central theme of this second body of literature is the role of domestic architecture and residential
landscape in promoting urban vitality and social cohesion. While rarely addressed … 
",  Related articles  View as HTML ,0
1944,2013,279,[PDF][PDF] Religion as capital: It may take a miracle,C Greed - 2013 - eprints.uwe.ac.uk,"… course). The strong, vibrant spirit manifested by Black Pentecostal churches, typified
by Full Gospel Choirs is also very attractive to the media and the music industry,
whilst adding urban vitality and 'colour' to the inner city. But … 
",  Related articles  View as HTML ,0
1942,2013,279,More Than Just Shelves: Patron Perceptions of a Downtown Halifax Library,"E Macrae, S Van de Vooren… - Journal for Undergraduate …, 2013 - ojs.library.dal.ca","… the original construction of the library. A range of policy documents demonstrate
that municipal authorities in Halifax recognize that public libraries reflect social values
and play a role in urban vitality. While the existing SGL is … 
",  Related articles  View as HTML ,0
1939,2013,279,Harmonization of residential & commercial mixed-use developments: investigation of regulatory issues by case studies,YT Hsieh - 2013 - repositories.lib.utexas.edu,"… been identified as contributing to problems such as social and economic inequity, traffic congestion,
the loss of urban vitality, environmental pollution, criminal, and even obesity … environmental
problems, the loss of urban vitality, social and economic inequity, crime and obesity … 
",  Related articles All 3 versions  View as HTML ,0
1938,2013,279,Property Tax Reform: A contribution to home ownership and challenges for government in Australia,"V Mangioni - State of Australian Cities (SOAC) Conference, 2013 - opus.lib.uts.edu.au","Page 1. Property tax reform A Contribution To Home Ownership And Challenges
For Government In Australia Peer-reviewed paper Vince Mangioni University of
Technology, Sydney Vincent.mangioni@uts.edu.au Abstract: The … 
",  Related articles All 2 versions  View as HTML ,0
1935,2013,279,Sydney's Housing Markets During the Global Financial Crisis: How was globalisation mediated?,"HI MacDonald - State of Australian Cities (SOAC) Conference, 2013 - opus.lib.uts.edu.au","Page 1. Sydney's housing markets during the Global Financial Crisis: how was
globalisation mediated? Heather MacDonald, School of Built Environment, Faculty
of Design Architecture and Building, University of Technology Sydney … 
",  Related articles All 2 versions  View as HTML ,0
1934,2013,279,[PDF][PDF] Stakeholder Partnerships and the Cultural City: Creative economic development policy in Toronto and New York,SBD Goldberg-Miller - umdcipe.org,"Page 1. Stakeholder Partnerships and the Cultural City: Creative economic
development policy in Toronto and New York Shoshanah Barbara Diane
Goldberg-Miller, Ph.D. Part-Time Assistant Professor The New School Abstract … 
",  Related articles All 3 versions  View as HTML ,0
1933,2013,279,The Role of the Creative Economy in Sustainability Planning and Development,M Stelk - 2013 - digitalcommons.usm.maine.edu,"Page 1. University of Southern Maine USM Digital Commons Muskie School
Capstones Student Scholarship 5-2013 The Role of the Creative Economy in
Sustainability Planning and Development Marla Stelk Follow this and … 
",  Related articles All 4 versions  View as HTML ,0
1931,2013,279,The Focal Point of China,"R Marshall - Emerging Urbanity, 2013 - content.taylorfrancis.com","… 89 Page 6. The Focal Point of China 6.6 Street scene in Puxi. Shanghai's streets are
filled with urban vitality. 90 the city, but the local governments negotiate the sale of the
land-lease and determine the con- ditions and length of the lease … 
",   ,0
1930,2013,279,조선후기 시가를 통해 본 서울의 장소성과 그 의미,"정인숙 - 한국시가연구, 2013 - papersearch.net","… It is represented as a city of confucian ideology and value. On the other hand Seoul is a dynamic
space of living customs. The text shows urban vitality and seasonal customs. And Seoul is a space
that is wanted to be related with. The text shows desire for a center of power … 
",   Cached ,0
1929,2013,279,Going with the Flow: The New Design with Nature,"N Ellin - Good Urbanism, 2013 - Springer","… amounts. Mistakenly, in the quest for urban vitality and sustainable urbanism, many
work toward achieving building and population density, when it is actually
programmatic density—the adjacency of uses—that is most important … 
",  Related articles  ,0
1927,2013,279,[PDF][PDF] Under Siege,J Ferng - researchgate.net,"… officer corps allowed for the coordination of multiple operations, freedom of movement, and most
importantly, the ability to bypass fortresses altogether.26 These strategies were quickly embraced
by Napoleon I at the end of the century while urban vitality became redefined by … 
",  Related articles All 4 versions  View as HTML ,0
1924,2013,279,Parque Tercer Milenio: una política distrital de renovación urbana que olvidó los principios de la seguridad humana,MJ López Rosero - repository.unimilitar.edu.co,"… As the adopted established measures perpetuated the violation of human rights of the people
who live in extremely poverty in this sector and in turn failed to meet the expectations of urban
vitality back into the public space. Key words: indigence, security, proportionality test … 
",  Related articles  View as HTML ,0
1920,2013,279,서울시 고가도로 철거에 따른 경관개선 효과 편익분석 연구,"김종혁， 김진태， 김홍길， 신복민 - 서울도시연구, 2013 - dbpia.co.kr","… Conventional study methodologies however cannot measure the benefit from the
removal since they only count general mobility measures, such as speed and delay,
excluding the value of enhanced sight view affecting urban vitality … 
",  Related articles  ,0
1917,2013,279,Fuzzy comprehensive evaluation on the urban vitality.,"W Shenglan, LI Ding, YE Xiaomei… - Journal of …, 2013 - search.ebscohost.com","This paper attempts to construct a relatively scientific and perfect evaluation index system lo evaluate the urban vitality of cities. By using the fuzzy evaluation method combined with information entropy, we evaluated the urban vitality of the twelve cities in Hubei Province …",  Related articles  ,0
1916,2013,279,Predicting the evolutive city. The notion of time in diagrammatic thinking,"C Padoa Schioppa - Systema: connecting matter, life, culture …, 2013 - systema-journal.org","… on metropolis survival ingredients. According to his theory, what mostly guarantees
urban vitality over time is the delicate interplay of rules and randomness at all scales,
at the architectural level as well. Such approach, also … 
",  Related articles All 2 versions  View as HTML ,0
1915,2013,279,New Urbanism as Redevelopment Scheme: New Urbanism's Role in Revitalization of Downtown Milwaukee,L Saboori - 2013 - dc.uwm.edu,"Page 1. University of Wisconsin Milwaukee UWM Digital Commons Theses and Dissertations
August 2013 New Urbanism as Redevelopment Scheme: New Urbanism's Role in Revitalization
of Downtown Milwaukee Leila Saboori University of Wisconsin-Milwaukee … 
",  All 3 versions  View as HTML ,0
1914,2013,279,Redeeming the Public,WY Weng - 2013 - repository.tudelft.nl,"Page 1. Redeeming The Public Page 2. Redeeming The Public A Study on Chinese Public
Space and Public Sphere Graduation Research Paper Wing Yinjun Weng Research Mentor -
John Heintz TU Delft | 2012/2013 Page 3. 4 5 Introduction … 
",   View as HTML ,0
1912,2013,279,[PDF][PDF] Are the Netherlands Shrinking or Just Changing?,"S Netsch, N Kropman - archive.corp.at","… Such a level of detail was never before being done. The message in the VINEX was clear:
build as much as possible in and on the edges of existing cities that have good connectivity
in order to improve urban vitality and environmental qualities … 
",  Related articles All 14 versions  View as HTML ,0
1910,2013,279,Design Controls,"NACTO production@ springer. com, NACTO - Urban Street Design Guide, 2013 - Springer","At the outset of any redesign or reconstruction, designers set forth key criteria that govern the
ensuing design of the street. These parameters, referred to here as “design controls,” critically...
",  Related articles  ,0
1838,2013,279,[PDF][PDF] Does Context Matter?: Understanding the Urban Design Requirements of Successful Neighborhood Parks,S Lee - 2013 - repository.asu.edu,"Page 1. Does Context Matter? Understanding the Urban Design Requirements of
Successful Neighborhood Parks by Sungduck Lee A Dissertation Presented in Partial
Fulfillment of the Requirements for the Degree Doctor of Philosophy … 
",  Related articles All 2 versions  View as HTML ,0
1837,2013,279,The Evolution of the Development of the Mass Cultural Centers of Art in Wuhan,"C Jian, H Wei - Huazhong Architecture, 2013 - en.cnki.com.cn","… Interior Design;2012-01. 4, LIAO Yi,ZHU Ye,WEI Haoyan;Research on the Relationship
Between Jiefangbei Commercial Pedestrian Street and Urban Vitality:Based on Role
Analysis[J];Interior Design;2012-01. 5, ZHU Chuan-shu … 
",   Cached ,0
